Navn,Year,Month,Day,Felt,Trafikkmengde,Sykkel
Hansine Hansens veg,2021,11,5,1,1960,0
Hansine Hansens veg,2021,11,5,2,1927,0
Hansine Hansens veg,2021,11,5,Totalt,3887,0
Hansine Hansens veg,2021,11,6,1,659,0
Hansine Hansens veg,2021,11,6,2,647,0
Hansine Hansens veg,2021,11,6,Totalt,1306,0
Hansine Hansens veg,2021,11,7,1,628,0
Hansine Hansens veg,2021,11,7,2,609,0
Hansine Hansens veg,2021,11,7,Totalt,1237,0
Hansine Hansens veg,2021,11,8,1,2213,0
Hansine Hansens veg,2021,11,8,2,2357,0
Hansine Hansens veg,2021,11,8,Totalt,4570,0
Hansine Hansens veg,2021,11,9,1,2119,0
Hansine Hansens veg,2021,11,9,2,2233,0
Hansine Hansens veg,2021,11,9,Totalt,4352,0
Hansine Hansens veg,2021,11,10,1,2232,0
Hansine Hansens veg,2021,11,10,2,2300,0
Hansine Hansens veg,2021,11,10,Totalt,4532,0
Hansine Hansens veg,2021,11,11,1,2163,0
Hansine Hansens veg,2021,11,11,2,2299,0
Hansine Hansens veg,2021,11,11,Totalt,4462,0
Hansine Hansens veg,2021,11,12,1,2020,0
Hansine Hansens veg,2021,11,12,2,2178,0
Hansine Hansens veg,2021,11,12,Totalt,4198,0
Hansine Hansens veg,2021,11,13,1,819,0
Hansine Hansens veg,2021,11,13,2,802,0
Hansine Hansens veg,2021,11,13,Totalt,1621,0
Hansine Hansens veg,2021,11,14,1,624,0
Hansine Hansens veg,2021,11,14,2,602,0
Hansine Hansens veg,2021,11,14,Totalt,1226,0
Hansine Hansens veg,2021,11,15,1,2165,0
Hansine Hansens veg,2021,11,15,2,2273,0
Hansine Hansens veg,2021,11,15,Totalt,4438,0
Hansine Hansens veg,2021,11,16,1,2421,0
Hansine Hansens veg,2021,11,16,2,2558,0
Hansine Hansens veg,2021,11,16,Totalt,4979,0
Hansine Hansens veg,2021,11,17,1,2297,0
Hansine Hansens veg,2021,11,17,2,2408,0
Hansine Hansens veg,2021,11,17,Totalt,4705,0
Hansine Hansens veg,2021,11,18,1,2314,0
Hansine Hansens veg,2021,11,18,2,2406,0
Hansine Hansens veg,2021,11,18,Totalt,4720,0
Hansine Hansens veg,2021,11,19,1,2027,0
Hansine Hansens veg,2021,11,19,2,2183,0
Hansine Hansens veg,2021,11,19,Totalt,4210,0
Hansine Hansens veg,2021,11,20,1,631,0
Hansine Hansens veg,2021,11,20,2,613,0
Hansine Hansens veg,2021,11,20,Totalt,1244,0
Hansine Hansens veg,2021,11,21,1,688,0
Hansine Hansens veg,2021,11,21,2,671,0
Hansine Hansens veg,2021,11,21,Totalt,1359,0
Hansine Hansens veg,2021,11,22,1,2224,0
Hansine Hansens veg,2021,11,22,2,2419,0
Hansine Hansens veg,2021,11,22,Totalt,4643,0
Hansine Hansens veg,2021,11,23,1,2340,0
Hansine Hansens veg,2021,11,23,2,2508,0
Hansine Hansens veg,2021,11,23,Totalt,4848,0
Hansine Hansens veg,2021,11,24,1,2376,0
Hansine Hansens veg,2021,11,24,2,2513,0
Hansine Hansens veg,2021,11,24,Totalt,4889,0
Hansine Hansens veg,2021,11,25,1,2274,0
Hansine Hansens veg,2021,11,25,2,2375,0
Hansine Hansens veg,2021,11,25,Totalt,4649,0
Hansine Hansens veg,2021,11,26,1,2117,0
Hansine Hansens veg,2021,11,26,2,2289,0
Hansine Hansens veg,2021,11,26,Totalt,4406,0
Hansine Hansens veg,2021,11,27,1,673,0
Hansine Hansens veg,2021,11,27,2,692,0
Hansine Hansens veg,2021,11,27,Totalt,1365,0
Hansine Hansens veg,2021,11,28,1,635,0
Hansine Hansens veg,2021,11,28,2,616,0
Hansine Hansens veg,2021,11,28,Totalt,1251,0
Hansine Hansens veg,2021,11,29,1,2224,0
Hansine Hansens veg,2021,11,29,2,2493,0
Hansine Hansens veg,2021,11,29,Totalt,4717,0
Hansine Hansens veg,2021,11,30,1,2302,0
Hansine Hansens veg,2021,11,30,2,2455,0
Hansine Hansens veg,2021,11,30,Totalt,4757,0
Hansine Hansens veg,2021,12,1,1,2269,0
Hansine Hansens veg,2021,12,1,2,2476,0
Hansine Hansens veg,2021,12,1,Totalt,4745,0
Hansine Hansens veg,2021,12,2,1,2136,0
Hansine Hansens veg,2021,12,2,2,2314,0
Hansine Hansens veg,2021,12,2,Totalt,4450,0
Hansine Hansens veg,2021,12,3,1,2005,0
Hansine Hansens veg,2021,12,3,2,2207,0
Hansine Hansens veg,2021,12,3,Totalt,4212,0
Hansine Hansens veg,2021,12,4,1,765,0
Hansine Hansens veg,2021,12,4,2,749,0
Hansine Hansens veg,2021,12,4,Totalt,1514,0
Hansine Hansens veg,2021,12,5,1,702,0
Hansine Hansens veg,2021,12,5,2,699,0
Hansine Hansens veg,2021,12,5,Totalt,1401,0
Hansine Hansens veg,2021,12,6,1,2180,0
Hansine Hansens veg,2021,12,6,2,2374,0
Hansine Hansens veg,2021,12,6,Totalt,4554,0
Hansine Hansens veg,2021,12,7,1,2202,0
Hansine Hansens veg,2021,12,7,2,2402,0
Hansine Hansens veg,2021,12,7,Totalt,4604,0
Hansine Hansens veg,2021,12,8,1,2200,0
Hansine Hansens veg,2021,12,8,2,2359,0
Hansine Hansens veg,2021,12,8,Totalt,4559,0
Hansine Hansens veg,2021,12,9,1,2070,0
Hansine Hansens veg,2021,12,9,2,2277,0
Hansine Hansens veg,2021,12,9,Totalt,4347,0
Hansine Hansens veg,2021,12,10,1,1956,0
Hansine Hansens veg,2021,12,10,2,2151,0
